Request ID,Customer ID,Request Type,Request Description,Request Status,Creation Date,Resolution Date
869,1198,Payment Issue,My promo code was not applied to my ride.,In Progress,2021-01-04,2022-07-04
8088,1050,Payment Issue,I was double charged for my ride.,Closed,2023-09-20,
5300,2451,Payment Issue,My promo code was not applied to my ride.,Closed,2020-12-18,2022-09-11
8423,7280,Payment Issue,I was double charged for my ride.,Open,2023-01-11,2021-06-16
5397,7236,Payment Issue,I was double charged for my ride.,In Progress,2020-11-22,2020-05-21
5815,7057,Payment Issue,My promo code was not applied to my ride.,Closed,2022-07-02,
2953,5622,Payment Issue,My promo code was not applied to my ride.,Closed,2023-12-20,
162,2775,Payment Issue,I can't update my payment information in the app.,Open,2022-06-08,2020-11-09
8820,6334,Payment Issue,I was double charged for my ride.,Open,2023-06-13,
7747,2276,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2021-07-16,2022-06-19
6246,3725,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2022-11-05,
4002,1996,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2022-07-15,2020-07-26
4380,7123,Payment Issue,The ride fare was higher than the estimated fare.,Resolved,2022-11-19,2020-11-27
5901,5072,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2021-04-04,
2675,2126,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",In Progress,2023-10-11,2021-01-18
9603,2848,Payment Issue,My promo code was not applied to my ride.,Closed,2021-12-12,2021-05-18
6225,9332,Payment Issue,The ride fare was higher than the estimated fare.,Resolved,2021-09-27,2021-11-04
611,9244,Payment Issue,I can't update my payment information in the app.,Resolved,2022-05-28,2020-11-10
735,5819,Payment Issue,I can't update my payment information in the app.,Closed,2021-09-23,
7841,1352,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2022-08-21,
3909,4689,Payment Issue,I can't update my payment information in the app.,Closed,2023-06-23,2022-01-20
9082,2506,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2020-12-31,
3106,1811,Payment Issue,My promo code was not applied to my ride.,Closed,2023-05-04,2023-05-25
1767,9966,Payment Issue,My promo code was not applied to my ride.,Open,2020-06-06,2021-12-09
4927,4716,Payment Issue,My promo code was not applied to my ride.,In Progress,2022-12-04,2022-09-16
3989,1058,Payment Issue,I can't update my payment information in the app.,Closed,2021-11-28,2020-09-13
9203,6494,Payment Issue,My promo code was not applied to my ride.,Open,2021-03-29,
1272,9773,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2023-06-14,2021-11-06
3396,1669,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2023-06-17,
4223,8539,Payment Issue,My promo code was not applied to my ride.,In Progress,2021-03-19,2021-11-27
3031,5919,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2020-09-26,2021-04-11
8863,7462,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2020-12-01,2023-05-04
2928,2839,Payment Issue,My promo code was not applied to my ride.,Closed,2020-11-29,
8746,7337,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2023-07-01,
1457,6843,Payment Issue,I can't update my payment information in the app.,Open,2023-12-13,
1884,1487,Payment Issue,I can't update my payment information in the app.,In Progress,2023-09-25,2020-12-15
4560,8527,Payment Issue,The ride fare was higher than the estimated fare.,Open,2023-06-01,2021-12-25
8169,5183,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2023-04-21,
288,1704,Payment Issue,The ride fare was higher than the estimated fare.,Resolved,2022-08-15,2023-04-10
5316,8216,Payment Issue,My promo code was not applied to my ride.,Open,2021-04-25,
4468,6007,Payment Issue,My promo code was not applied to my ride.,Resolved,2023-08-12,2022-02-22
8044,7484,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2023-04-01,
5882,8317,Payment Issue,My promo code was not applied to my ride.,In Progress,2022-06-15,2022-10-26
4496,5039,Payment Issue,My promo code was not applied to my ride.,Open,2020-10-02,
5982,2440,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2020-09-12,
1515,2307,Payment Issue,The ride fare was higher than the estimated fare.,Resolved,2020-06-10,2021-04-16
6702,2375,Payment Issue,I can't update my payment information in the app.,In Progress,2020-02-02,2020-09-07
1633,6555,Payment Issue,My promo code was not applied to my ride.,Closed,2020-10-18,
9165,7582,Payment Issue,My promo code was not applied to my ride.,Closed,2021-01-06,2020-03-30
1452,9245,Payment Issue,My promo code was not applied to my ride.,Open,2022-09-30,
7052,5436,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2021-04-07,
8929,2770,Payment Issue,I was double charged for my ride.,Open,2022-09-15,2023-03-08
8249,9282,Payment Issue,I can't update my payment information in the app.,Resolved,2020-10-25,
8566,8132,Payment Issue,I was double charged for my ride.,Resolved,2022-03-14,2021-07-15
734,7654,Payment Issue,I was double charged for my ride.,Resolved,2023-11-08,2020-03-27
7331,8948,Payment Issue,I can't update my payment information in the app.,Closed,2021-08-21,
2971,3183,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2020-07-11,
1930,8456,Payment Issue,The ride fare was higher than the estimated fare.,Open,2021-11-14,
9628,5127,Payment Issue,I can't update my payment information in the app.,Closed,2022-10-21,2023-12-12
6881,8545,Payment Issue,I can't update my payment information in the app.,In Progress,2021-11-22,
3077,8776,Payment Issue,The ride fare was higher than the estimated fare.,Open,2023-10-04,2021-02-20
8444,7624,Payment Issue,I can't update my payment information in the app.,Closed,2022-05-19,
7478,8347,Payment Issue,My promo code was not applied to my ride.,In Progress,2021-04-16,
6182,1588,Payment Issue,I was double charged for my ride.,Closed,2022-01-15,2020-07-31
3747,2055,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2021-08-08,2021-06-14
5835,2880,Payment Issue,I was double charged for my ride.,Closed,2023-11-02,2020-11-23
4030,7369,Payment Issue,My promo code was not applied to my ride.,Open,2023-01-17,
1930,8456,Payment Issue,The ride fare was higher than the estimated fare.,Open,2021-11-14,
1550,6921,Payment Issue,The ride fare was higher than the estimated fare.,Open,2021-01-26,2022-10-28
3352,6458,Payment Issue,The ride fare was higher than the estimated fare.,In Progress,2022-05-07,2021-09-25
1517,7192,Payment Issue,I can't update my payment information in the app.,Open,2022-03-20,2020-11-26
755,4793,Payment Issue,I can't update my payment information in the app.,Closed,2020-12-31,
4080,1811,Payment Issue,My promo code was not applied to my ride.,Closed,2023-12-29,
7401,9007,Payment Issue,My promo code was not applied to my ride.,Resolved,2021-11-25,2021-04-12
5833,5523,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2021-04-16,2020-02-13
3317,3595,Payment Issue,My promo code was not applied to my ride.,Open,2022-05-12,2022-01-18
2168,2913,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2020-09-15,
4001,4334,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2021-07-20,2023-04-17
390,3391,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2021-02-20,2021-02-08
7593,2565,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2021-03-12,
6890,5351,Payment Issue,I was double charged for my ride.,Open,2023-05-28,2020-09-11
9908,6834,Payment Issue,I can't update my payment information in the app.,In Progress,2022-06-08,
8929,2770,Payment Issue,I was double charged for my ride.,Open,2022-09-15,2023-03-08
6644,8504,Payment Issue,I can't update my payment information in the app.,Open,2022-03-17,
2068,4670,Payment Issue,I was double charged for my ride.,Open,2021-12-11,
4153,1162,Payment Issue,My promo code was not applied to my ride.,Open,2020-12-01,2020-01-24
4581,3690,Payment Issue,The ride fare was higher than the estimated fare.,Open,2020-10-18,2022-10-30
6777,8787,Payment Issue,I was double charged for my ride.,Open,2021-10-29,
7170,3857,Payment Issue,I can't update my payment information in the app.,Closed,2022-06-11,
6305,8366,Payment Issue,I was double charged for my ride.,Closed,2021-10-11,
3043,3709,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2022-04-11,
4122,9962,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2021-01-16,2022-01-15
6507,9709,Payment Issue,I can't update my payment information in the app.,Closed,2020-11-10,
5300,2451,Payment Issue,My promo code was not applied to my ride.,Closed,2020-12-18,2022-09-11
7841,1352,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2022-08-21,
5252,5307,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2023-04-25,2020-08-29
6582,3906,Payment Issue,I can't update my payment information in the app.,Open,2021-10-14,
6003,6762,Payment Issue,I was double charged for my ride.,In Progress,2022-01-15,2023-03-21
8076,3228,Payment Issue,I was double charged for my ride.,Resolved,2022-05-31,2020-03-15
5883,9368,Payment Issue,My promo code was not applied to my ride.,Open,2023-08-24,2020-11-12
8750,2621,Payment Issue,My promo code was not applied to my ride.,Closed,2022-11-30,2023-12-02
5478,3494,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2020-06-25,
5446,9869,Payment Issue,I can't update my payment information in the app.,Resolved,2022-11-07,2023-09-07
5060,6981,Payment Issue,I can't update my payment information in the app.,Closed,2021-07-23,
3811,5877,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2023-03-08,2022-10-14
6922,9893,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2021-04-12,
4960,6970,Payment Issue,The ride fare was higher than the estimated fare.,Resolved,2022-02-25,
2690,9125,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2022-09-30,
5816,3283,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2021-05-29,
5592,6796,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2023-03-16,
2489,5808,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2023-07-02,2023-11-14
1202,6544,Payment Issue,My promo code was not applied to my ride.,In Progress,2023-02-04,
4862,1714,Payment Issue,The ride fare was higher than the estimated fare.,Resolved,2021-08-31,2020-01-10
2600,6969,Payment Issue,My promo code was not applied to my ride.,Closed,2021-08-19,2023-06-23
2549,2633,Payment Issue,The ride fare was higher than the estimated fare.,Resolved,2022-01-27,
7912,7062,Payment Issue,My promo code was not applied to my ride.,Resolved,2023-09-17,
6447,4219,Payment Issue,The ride fare was higher than the estimated fare.,Open,2022-04-07,2020-11-12
5882,8317,Payment Issue,My promo code was not applied to my ride.,In Progress,2022-06-15,2022-10-26
4406,9686,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2020-05-11,
7307,6428,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2023-08-22,
5972,3083,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2023-05-15,2023-03-19
9765,8182,Payment Issue,I was double charged for my ride.,Open,2023-05-19,
2168,2913,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2020-09-15,
4989,5681,Payment Issue,My promo code was not applied to my ride.,Resolved,2023-12-22,2022-08-16
6471,3234,Payment Issue,I can't update my payment information in the app.,Closed,2021-01-11,
2654,6464,Payment Issue,My promo code was not applied to my ride.,In Progress,2022-02-18,
8497,9674,Payment Issue,I can't update my payment information in the app.,Open,2021-05-14,2023-10-03
7,9463,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2023-06-18,2020-10-31
2460,5526,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2023-11-15,2021-04-17
8881,2003,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2020-02-12,2023-01-19
6266,4584,Payment Issue,I was double charged for my ride.,In Progress,2020-10-17,
3273,6871,Payment Issue,My promo code was not applied to my ride.,Open,2023-03-31,2021-12-25
6896,6247,Payment Issue,I was double charged for my ride.,Open,2022-02-27,
9520,2408,Payment Issue,I was double charged for my ride.,In Progress,2020-04-08,2020-09-01
6579,7011,Payment Issue,I was double charged for my ride.,Open,2020-01-11,2020-02-14
4472,6110,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",In Progress,2021-07-22,
4223,8539,Payment Issue,My promo code was not applied to my ride.,In Progress,2021-03-19,2021-11-27
6729,7042,Payment Issue,I can't update my payment information in the app.,Resolved,2021-08-17,
6691,3258,Payment Issue,My promo code was not applied to my ride.,Resolved,2022-04-14,2021-02-27
6831,2392,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2023-02-23,
5616,3161,Payment Issue,I can't update my payment information in the app.,Closed,2020-01-11,
8991,6098,Payment Issue,My promo code was not applied to my ride.,Closed,2022-10-20,
3216,6775,Payment Issue,I was double charged for my ride.,Closed,2022-09-23,
744,6612,Payment Issue,I can't update my payment information in the app.,Resolved,2020-03-02,
482,2501,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",In Progress,2021-06-24,
1554,7956,Payment Issue,I was double charged for my ride.,Closed,2021-12-12,2021-01-13
2934,3016,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2023-02-04,
1090,7317,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2021-05-02,
9127,9516,Payment Issue,I was double charged for my ride.,Closed,2021-07-11,
723,1675,Payment Issue,The ride fare was higher than the estimated fare.,Resolved,2023-03-24,2020-09-16
7634,3448,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2020-03-02,
8593,4078,Payment Issue,I can't update my payment information in the app.,Resolved,2023-06-18,
2345,3137,Payment Issue,I can't update my payment information in the app.,Open,2020-06-11,
4452,9927,Payment Issue,I was double charged for my ride.,Open,2021-11-05,2020-07-29
692,8625,Payment Issue,The ride fare was higher than the estimated fare.,In Progress,2023-09-23,
9833,5290,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",In Progress,2020-06-11,
7032,8478,Payment Issue,I can't update my payment information in the app.,In Progress,2020-07-14,2023-06-02
2538,5058,Payment Issue,My promo code was not applied to my ride.,Open,2021-08-11,2020-08-25
7747,2276,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2021-07-16,2022-06-19
9608,3394,Payment Issue,My promo code was not applied to my ride.,Closed,2023-11-20,
5332,2942,Payment Issue,The ride fare was higher than the estimated fare.,In Progress,2020-07-18,2021-11-06
7860,2199,Payment Issue,My promo code was not applied to my ride.,Open,2021-11-09,
6016,5665,Payment Issue,My promo code was not applied to my ride.,In Progress,2023-03-27,2020-05-26
556,8040,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2022-11-25,
6834,7832,Payment Issue,I can't update my payment information in the app.,Open,2023-03-02,2020-12-03
7268,3629,Payment Issue,I can't update my payment information in the app.,Resolved,2023-07-11,2023-12-21
1870,7798,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2020-08-27,
7765,9858,Payment Issue,I can't update my payment information in the app.,Resolved,2021-10-18,2023-11-24
6582,3906,Payment Issue,I can't update my payment information in the app.,Open,2021-10-14,
9349,9177,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2020-10-10,2021-08-11
2456,1594,Payment Issue,The ride fare was higher than the estimated fare.,In Progress,2020-12-06,2022-04-05
7084,4164,Payment Issue,My promo code was not applied to my ride.,Open,2021-08-27,
9872,8926,Payment Issue,I can't update my payment information in the app.,Open,2023-08-27,
7800,9158,Payment Issue,I can't update my payment information in the app.,Open,2021-05-13,2023-01-29
8623,1179,Payment Issue,I was double charged for my ride.,Open,2020-03-23,2023-09-04
5609,3929,Payment Issue,My promo code was not applied to my ride.,Closed,2020-05-31,2022-10-28
6463,9589,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2021-06-19,
947,9714,Payment Issue,I was double charged for my ride.,In Progress,2020-03-22,2023-01-05
7006,4282,Payment Issue,I can't update my payment information in the app.,Open,2022-10-20,2022-04-10
8593,4078,Payment Issue,I can't update my payment information in the app.,Resolved,2023-06-18,
9374,3386,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",In Progress,2021-06-06,2023-09-11
2404,8601,Payment Issue,I was double charged for my ride.,Resolved,2020-04-12,2021-10-05
3989,1058,Payment Issue,I can't update my payment information in the app.,Closed,2021-11-28,2020-09-13
3403,3937,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2022-06-04,2021-06-06
8126,8022,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",In Progress,2022-05-23,2023-05-10
5132,7194,Payment Issue,My promo code was not applied to my ride.,Closed,2023-05-10,
9032,8827,Payment Issue,I was double charged for my ride.,In Progress,2021-05-25,2020-09-12
1762,5672,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2023-11-17,
4581,3690,Payment Issue,The ride fare was higher than the estimated fare.,Open,2020-10-18,2022-10-30
8151,7935,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2023-03-25,2021-11-18
6660,7036,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2021-05-17,
8825,2654,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2023-12-08,2023-11-30
4473,6422,Payment Issue,My promo code was not applied to my ride.,Open,2020-05-25,
1565,2941,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2020-01-12,2022-03-13
8624,7722,Payment Issue,I can't update my payment information in the app.,Resolved,2021-07-23,2020-03-05
8295,1305,Payment Issue,I was double charged for my ride.,Resolved,2021-05-17,
6694,9848,Payment Issue,The ride fare was higher than the estimated fare.,In Progress,2021-08-13,
2414,8333,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",In Progress,2021-12-04,2020-11-07
2250,7483,Payment Issue,I can't update my payment information in the app.,Closed,2020-02-29,
6524,3843,Payment Issue,The ride fare was higher than the estimated fare.,Open,2023-08-20,
5639,4083,Payment Issue,I can't update my payment information in the app.,In Progress,2023-10-11,
5650,8618,Payment Issue,I was double charged for my ride.,In Progress,2021-12-07,
418,6431,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2023-10-06,
919,1642,Payment Issue,I was double charged for my ride.,Resolved,2022-04-24,
5883,9368,Payment Issue,My promo code was not applied to my ride.,Open,2023-08-24,2020-11-12
393,1956,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2020-11-27,
8627,4861,Payment Issue,I was double charged for my ride.,Resolved,2022-12-14,2020-11-01
7425,2811,Payment Issue,I was double charged for my ride.,Closed,2020-02-11,2020-09-15
7581,4434,Payment Issue,I was double charged for my ride.,In Progress,2020-08-11,
3392,1683,Payment Issue,My promo code was not applied to my ride.,Closed,2020-04-15,
1272,9773,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2023-06-14,2021-11-06
3723,9975,Payment Issue,I can't update my payment information in the app.,Closed,2021-09-05,
6720,7161,Payment Issue,I was double charged for my ride.,In Progress,2022-03-13,2020-12-22
606,1845,Payment Issue,The ride fare was higher than the estimated fare.,Resolved,2023-09-06,
6323,7552,Payment Issue,My promo code was not applied to my ride.,Open,2022-12-30,
1550,6921,Payment Issue,The ride fare was higher than the estimated fare.,Open,2021-01-26,2022-10-28
5036,2465,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2021-02-13,
3106,1811,Payment Issue,My promo code was not applied to my ride.,Closed,2023-05-04,2023-05-25
5998,9629,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2020-04-15,
7581,4434,Payment Issue,I was double charged for my ride.,In Progress,2020-08-11,
5499,8032,Payment Issue,I was double charged for my ride.,Closed,2022-10-10,
4486,6918,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2022-09-30,2021-04-06
4708,3533,Payment Issue,My promo code was not applied to my ride.,Resolved,2023-08-23,2020-12-21
1554,7956,Payment Issue,I was double charged for my ride.,Closed,2021-12-12,2021-01-13
2451,7167,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2020-06-25,2020-03-23
1773,3491,Payment Issue,The ride fare was higher than the estimated fare.,Open,2022-01-22,
3712,1133,Payment Issue,I can't update my payment information in the app.,In Progress,2023-09-02,2022-02-22
1812,1444,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",In Progress,2020-09-28,
4095,5221,Payment Issue,I can't update my payment information in the app.,Resolved,2023-11-11,2023-12-13
6687,5371,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2022-02-05,2022-12-22
8237,9775,Payment Issue,I was double charged for my ride.,In Progress,2020-06-09,
8918,5257,Payment Issue,I can't update my payment information in the app.,Resolved,2020-12-22,
2166,2221,Payment Issue,I was double charged for my ride.,In Progress,2020-10-17,2022-10-19
9745,4777,Payment Issue,I can't update my payment information in the app.,Closed,2020-03-15,
7074,8143,Payment Issue,I can't update my payment information in the app.,Resolved,2022-11-28,2023-12-14
8202,6589,Payment Issue,I can't update my payment information in the app.,Resolved,2023-01-25,2023-07-07
826,2334,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2021-12-20,2022-03-13
3058,3015,Payment Issue,I was double charged for my ride.,In Progress,2020-06-14,
9147,8397,Payment Issue,I can't update my payment information in the app.,In Progress,2020-01-11,2021-08-17
3737,1688,Payment Issue,The ride fare was higher than the estimated fare.,Open,2022-10-11,2020-06-08
5913,3685,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2023-04-07,
1762,5672,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2023-11-17,
3106,1811,Payment Issue,My promo code was not applied to my ride.,Closed,2023-05-04,2023-05-25
2537,4025,Payment Issue,My promo code was not applied to my ride.,Resolved,2020-09-23,2023-01-07
2094,4822,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",In Progress,2022-04-23,
4698,1806,Payment Issue,My promo code was not applied to my ride.,Closed,2023-03-31,
72,2585,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2021-05-19,
4822,3078,Payment Issue,I can't update my payment information in the app.,Resolved,2021-09-17,2022-08-01
8647,3004,Payment Issue,My promo code was not applied to my ride.,Resolved,2021-08-26,2023-12-20
9878,7544,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",In Progress,2022-08-01,
4195,1584,Payment Issue,I can't update my payment information in the app.,Open,2023-11-16,
8444,7624,Payment Issue,I can't update my payment information in the app.,Closed,2022-05-19,
6922,9893,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2021-04-12,
4159,1645,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2020-11-24,
9127,9516,Payment Issue,I was double charged for my ride.,Closed,2021-07-11,
9958,1890,Payment Issue,My promo code was not applied to my ride.,Open,2023-07-18,
1120,1046,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2020-09-01,2020-03-18
678,5101,Payment Issue,My promo code was not applied to my ride.,In Progress,2022-12-28,2021-01-18
2343,1354,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2022-06-26,2023-03-15
2664,7951,Payment Issue,My promo code was not applied to my ride.,Closed,2021-02-06,
3897,8659,Payment Issue,The ride fare was higher than the estimated fare.,Open,2021-05-26,
4419,7056,Payment Issue,The ride fare was higher than the estimated fare.,In Progress,2023-09-14,
700,3038,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2022-11-07,
9021,3437,Payment Issue,The ride fare was higher than the estimated fare.,Resolved,2022-02-19,2023-03-15
3851,9023,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2020-06-25,2022-12-22
7947,4882,Payment Issue,My promo code was not applied to my ride.,In Progress,2023-09-29,2022-01-18
